LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
146610,SEATTLE,WA,98103,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
146395,MOUNTLAKE TERRACE,WA,98043,423610,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
145931,YAKIMA,WA,98902,446199,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-04
145833,OLYMPIA,WA,98508,621493,Partnership,Unanswered,Unanswered,Unanswered,,7,04/15/2020,KeyBank National Association,WA-10
145724,PUYALLUP,WA,98371,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-10
145648,SEATTLE,WA,98109,722511,Corporation,Hispanic,Male Owned,Non-Veteran,,26,04/13/2020,KeyBank National Association,WA-07
145470,PROSSER,WA,99350,236115,Corporation,Unanswered,Unanswered,Unanswered,,13,5-1-2020,"JPMorgan Chase Bank, National Association",WA-04
145413,Renton,WA,98057,621210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,17,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
145411,BELLEVUE,WA,98004,621310,Corporation,Unanswered,Unanswered,Unanswered,,13,04/15/2020,KeyBank National Association,WA-01
145380,LYNNWOOD,WA,98036,442210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,4-11-2020,KeyBank National Association,WA-01
145295,ENUMCLAW,WA,98022,238310,Corporation,Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
145200,QUINCY,WA,98848,111998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,4-11-2020,KeyBank National Association,WA-04
145000,SPOKANE,WA,99201,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/15/2020,"JPMorgan Chase Bank, National Association",WA-05
145000,AUBURN,WA,98002,621210,Corporation,White,Male Owned,Non-Veteran,,11,04/13/2020,KeyBank National Association,WA-08
144925,SEATTLE,WA,98104,531210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
144717,CAMAS,WA,98607,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,37,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
144657,SNOHOMISH,WA,98296,484110,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,13,5-1-2020,"JPMorgan Chase Bank, National Association",WA-01
144500,QUINCY,WA,98848,999990,Partnership,Unanswered,Unanswered,Unanswered,,10,4-12-2020,KeyBank National Association,WA-04
144475,SEATTLE,WA,98101,541810,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,4-11-2020,KeyBank National Association,WA-07
144309,VANCOUVER,WA,98682,561110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-03
144300,ZILLAH,WA,98953,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/14/2020,KeyBank National Association,WA-04
144282,ISSAQUAH,WA,98027,424210,Corporation,Unanswered,Unanswered,Unanswered,,6,4-11-2020,KeyBank National Association,WA-08
144222,BELLEVUE,WA,98007,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
144205,BREMERTON,WA,98312,423930,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-06
144200,GIG HARBOR,WA,98332,541110,Corporation,Unanswered,Female Owned,Non-Veteran,,5,04/28/2020,KeyBank National Association,WA-06
144184,FEDERAL WAY,WA,98003,541219,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/14/2020,"Wells Fargo Bank, National Association",WA-09
143937,ARLINGTON,WA,98223,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
143740,AUBURN,WA,98001,238220,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
143625,MARYSVILLE,WA,98271,337212,Corporation,Unanswered,Unanswered,Unanswered,,14,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
143400,BELLEVUE,WA,98005,811111,Corporation,Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-09
143252,BELLEVUE,WA,98004,517919,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-01
143000,VANCOUVER,WA,98683,621111,Corporation,Unanswered,Unanswered,Non-Veteran,,22,4-10-2020,KeyBank National Association,WA-03
142900,Renton,WA,98057,238130,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,10,5-3-2020,KeyBank National Association,WA-09
142864,SHELTON,WA,98584,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,5-3-2020,"Wells Fargo Bank, National Association",WA-06
142695,LAKE TAPPS,WA,98391,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
142682,LAKE STEVENS,WA,98258,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,32,04/13/2020,KeyBank National Association,WA-02
142500,BELLEVUE,WA,98005,541511,Corporation,Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-09
142416,Everett,WA,98201,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
142400,SEATTLE,WA,98133,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,4-9-2020,KeyBank National Association,WA-07
142398,MATTAWA,WA,99349,111331,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,142,4-12-2020,KeyBank National Association,WA-04
142300,FEDERAL WAY,WA,98003,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
142300,SEATTLE,WA,98109,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-07
142199,SEATTLE,WA,98105,445299,Corporation,Unanswered,Unanswered,Unanswered,,29,06/26/2020,KeyBank National Association,WA-07
142195,VANCOUVER,WA,98682,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,06/18/2020,"JPMorgan Chase Bank, National Association",WA-03
142175,BATTLE GROUND,WA,98604,,Corporation,Unanswered,Unanswered,Unanswered,,25,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
141800,VANCOUVER,WA,98661,484121,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,4-11-2020,KeyBank National Association,WA-03
141800,SEATTLE,WA,98105,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,4-11-2020,KeyBank National Association,WA-07
141735,COVINGTON,WA,98042,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,4-12-2020,"JPMorgan Chase Bank, National Association",WA-08
141625,BELLEVUE,WA,98005,441310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,4-11-2020,KeyBank National Association,WA-09
141540,SNOHOMISH,WA,98296,722513,Corporation,Unanswered,Male Owned,Non-Veteran,,35,04/16/2020,"JPMorgan Chase Bank, National Association",WA-01
141500,SEATTLE,WA,98109,541110,Partnership,Unanswered,Unanswered,Unanswered,,9,04/13/2020,KeyBank National Association,WA-07
141452,TONASKET,WA,98855,111331,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/22/2020,"Wells Fargo Bank, National Association",WA-04
141417,OLYMPIA,WA,98512,236220,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-10
141353,BAINBRIDGE ISLAND,WA,98110,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/31/2020,"Wells Fargo Bank, National Association",WA-06
141330,EVERETT,WA,98204,334118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/13/2020,KeyBank National Association,WA-02
141257,TACOMA,WA,98418,621111,Corporation,Unanswered,Unanswered,Unanswered,,10,4-11-2020,KeyBank National Association,WA-06
141250,SEATTLE,WA,98199,811490,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,4-12-2020,KeyBank National Association,WA-07
141172,KENMORE,WA,98028,334614,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-01
141100,SEATTLE,WA,98104,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,4-10-2020,KeyBank National Association,WA-07
140833,YAKIMA,WA,98902,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,4-12-2020,KeyBank National Association,WA-04
140817,SEATTLE,WA,98112,999990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,22,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
140564,MONROE,WA,98272,237990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-01
140400,SEATTLE,WA,98116,238320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,4-11-2020,KeyBank National Association,WA-07
140394,BOTHELL,WA,98021,325412,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-01
140250,LAKEWOOD,WA,98499,722511,Corporation,Unanswered,Unanswered,Unanswered,,15,4-10-2020,KeyBank National Association,WA-06
140195,TUKWILA,WA,98188,621999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
140157,BELLEVUE,WA,98006,541810,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,6,04/16/2020,"JPMorgan Chase Bank, National Association",WA-09
140022,SEATTLE,WA,98103,713930,Corporation,Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
140000,SEATTLE,WA,98105,621999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
140000,ORTING,WA,98360,531311,Corporation,Unanswered,Unanswered,Unanswered,,21,4-11-2020,KeyBank National Association,WA-08
140000,Puyallup,WA,98372,541310,,Unanswered,Unanswered,Unanswered,,8,5-3-2020,KeyBank National Association,WA-08
140000,SPANAWAY,WA,98387,722513,Corporation,Asian,Male Owned,Non-Veteran,,34,04/13/2020,KeyBank National Association,WA-08
139999,SEATTLE,WA,98103,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,06/23/2020,"JPMorgan Chase Bank, National Association",WA-07
139800,SEATTLE,WA,98116,238350,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,4-11-2020,KeyBank National Association,WA-07
139778,SEATTLE,WA,98122,721110,Corporation,Unanswered,Unanswered,Unanswered,,0,04/29/2020,"Wells Fargo Bank, National Association",WA-07
139724,BELLEVUE,WA,98004,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4-11-2020,KeyBank National Association,WA-01
139650,BELLEVUE,WA,98005,339999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
139610,SEATTLE,WA,98103,423210,Corporation,Unanswered,Unanswered,Unanswered,,22,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
139500,BUCKLEY,WA,98321,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/14/2020,KeyBank National Association,WA-08
139400,SEATTLE,WA,98144,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,4-10-2020,KeyBank National Association,WA-09
139195,SEATTLE,WA,98108,624410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
139177,SEATTLE,WA,98105,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-07
139140,PUYALLUP,WA,98375,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/13/2020,KeyBank National Association,WA-08
139139,LONG BEACH,WA,98631,531311,Corporation,Unanswered,Unanswered,Unanswered,,0,5-1-2020,"Wells Fargo Bank, National Association",WA-03
139054,RENTON,WA,98059,,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-08
139000,GRAHAM,WA,98338,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,4-11-2020,KeyBank National Association,WA-08
138882.5,Auburn,WA,98092,238120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
138825,LONGVIEW,WA,98632,621111,Corporation,Unanswered,Unanswered,Unanswered,,3,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
138800,BURLINGTON,WA,98233,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,22,4-10-2020,KeyBank National Association,WA-02
138757,ISSAQUAH,WA,98027,523930,Corporation,Unanswered,Unanswered,Non-Veteran,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
138757,SEATTLE,WA,98104,454110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/28/2020,"JPMorgan Chase Bank, National Association",WA-07
138656,SEATTLE,WA,98188,541513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/13/2020,KeyBank National Association,WA-09
138376,MARYSVILLE,WA,98270,236115,Corporation,Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-02
138201.1,BOTHELL,WA,98012,238390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,5-8-2020,KeyBank National Association,WA-01
138195,REDMOND,WA,98052,453998,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-01
138192,SPOKANE,WA,99208,423830,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,5-1-2020,"JPMorgan Chase Bank, National Association",WA-05
138078,FREELAND,WA,98249,541512,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-02
138040,BONNEY LAKE,WA,98391,236210,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,12,4-11-2020,KeyBank National Association,WA-08
137908,PORT HADLOCK,WA,98339,332999,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,21,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
137900,SEATTLE,WA,98188,238220,Corporation,White,Male Owned,Non-Veteran,,11,04/14/2020,KeyBank National Association,WA-09
137875,VANCOUVER,WA,98685,442299,Corporation,Unanswered,Unanswered,Unanswered,,14,5-2-2020,"JPMorgan Chase Bank, National Association",WA-03
137800,SEATTLE,WA,98188,524210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,10,04/14/2020,KeyBank National Association,WA-09
137692,EDGEWOOD,WA,98372,561740,Corporation,Unanswered,Unanswered,Unanswered,,18,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
137623,GRANDVIEW,WA,98930,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,4-11-2020,KeyBank National Association,WA-04
137500,VANCOUVER,WA,98686,238160,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
137500,RENTON,WA,98057,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
137500,LAKEWOOD,WA,98499,621330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,23,4-11-2020,KeyBank National Association,WA-06
137500,Bellevue,WA,98004,531390,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,7,04/13/2020,"JPMorgan Chase Bank, National Association",WA-01
137500,SEATTLE,WA,98112,531110,Partnership,Unanswered,Unanswered,Unanswered,,13,04/14/2020,"JPMorgan Chase Bank, National Association",WA-07
137485,BATTLE GROUND,WA,98604,621399,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,7,07/21/2020,"JPMorgan Chase Bank, National Association",WA-03
137440,KENT,WA,98030,811111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
137235,SEATTLE,WA,98101,423120,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,0,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
137163,SAMMAMISH,WA,98074,722511,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,28,4-11-2020,KeyBank National Association,WA-08
137087,VANCOUVER,WA,98664,238210,Corporation,Unanswered,Unanswered,Unanswered,,4,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
136990,BOTHELL,WA,98021,541810,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,22,06/25/2020,"JPMorgan Chase Bank, National Association",WA-01
136987,KENNEWICK,WA,99338,238320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/16/2020,"JPMorgan Chase Bank, National Association",WA-04
136935,KENT,WA,98032,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
136806,ZILLAH,WA,98953,312130,Partnership,Unanswered,Unanswered,Unanswered,,27,04/14/2020,KeyBank National Association,WA-04
136772,SEATTLE,WA,98112,722410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
136765,SEATTLE,WA,98103,423450,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-07
136691,MUKILTEO,WA,98275,238340,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,4-11-2020,KeyBank National Association,WA-02
136679,SPOKANE,WA,99223,523910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-05
136617,BELLINGHAM,WA,98225,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,04/13/2020,KeyBank National Association,WA-02
136600,NORTH BEND,WA,98045,339920,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,8,4-10-2020,KeyBank National Association,WA-08
136553,DUPONT,WA,98327,622110,Corporation,Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-10
136535,POULSBO,WA,98370,541611,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/16/2020,"JPMorgan Chase Bank, National Association",WA-06
136500,FRIDAY HARBOR,WA,98250,712110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,13,4-11-2020,KeyBank National Association,WA-02
136500,BELLEVUE,WA,98006,611691,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,4-11-2020,KeyBank National Association,WA-09
136235,REDMOND,WA,98052,334416,Corporation,Unanswered,Unanswered,Unanswered,,10,04/28/2020,KeyBank National Association,WA-01
136212.23,BOTHELL,WA,98021,541613,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/16/2020,"JPMorgan Chase Bank, National Association",WA-01
136209,TUKWILA,WA,98188,524210,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-09
136200,REDMOND,WA,98052,811111,Corporation,White,Male Owned,Non-Veteran,,10,04/13/2020,KeyBank National Association,WA-01
136170,SEATTLE,WA,98134,722513,Corporation,Unanswered,Unanswered,Unanswered,,3,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
136000,SEATTLE,WA,98109,541310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
135769,BELLEVUE,WA,98007,722511,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-09
135695,SEATTLE,WA,98121,531190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-07
135690,ISSAQUAH,WA,98027,443142,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
135642,BREMERTON,WA,98312,445120,Corporation,Unanswered,Unanswered,Unanswered,,14,5-1-2020,KeyBank National Association,WA-06
135601,MOSES LAKE,WA,98837,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-04
135415,POULSBO,WA,98370,423450,Corporation,Unanswered,Unanswered,Unanswered,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
135415,SEATTLE,WA,98108,423840,Corporation,Unanswered,Male Owned,Non-Veteran,,,5-3-2020,"Wells Fargo Bank, National Association",WA-07
